date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-15|12:11:00|Refund for Electronics Purchase|Best Buy|-100.00
2023-04-15|12:12:00|Return of Weekly Groceries|Target|-50.00
2023-04-15|12:13:00|Credit for Household Supplies|Walmart|-30.00
2023-04-15|12:14:00|Cancellation Fee for Membership|Costco|-20.00
2023-04-15|12:15:00|Refund for Online Auction Purchase|eBay|-75.00
2023-04-15|12:16:00|Reimbursement for Garden Supplies|Home Depot|600.00
2023-04-15|12:17:00|Tool Purchase|Lowe's|700.00
2023-04-15|12:18:00|Clothing Sale|Kohl's|800.00
2023-04-15|12:19:00|Jewelry Purchase|Macy's|900.00

